epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.508,2.68796,5.50273,2.32929,0.25424,0.60857,0.36504,0.14776,1.98329,5.00432,2.04611,0.00020004,0.00020004,0.00020004
2,18.0133,2.00219,2.71632,1.8499,0.32724,0.55714,0.34658,0.13413,2.10629,4.15992,2.17866,0.000406435,0.000406435,0.000406435
3,22.6109,2.01666,2.31462,1.83914,0.43739,0.29714,0.3014,0.12185,2.20517,3.22754,2.30765,0.000602104,0.000602104,0.000602104
4,27.3517,2.09566,2.09471,1.87051,0.48076,0.35429,0.3235,0.13651,2.36273,3.58782,2.4708,0.000787045,0.000787045,0.000787045
5,32.2623,2.13372,2.09259,1.91426,0.12915,0.35143,0.09815,0.0426,2.54368,15.9694,4.22825,0.000961259,0.000961259,0.000961259
6,36.6382,2.01306,1.89029,1.83172,0.17452,0.31143,0.08947,0.02727,2.82772,49.5354,4.36215,0.00112475,0.00112475,0.00112475
7,41.6127,2.12364,1.87944,1.97621,0.25861,0.49714,0.26479,0.09341,2.50724,22.4648,3.59298,0.00127751,0.00127751,0.00127751
8,46.0599,2.03798,1.79209,1.90919,0.27117,0.38286,0.16149,0.04208,2.3416,45.8751,2.59212,0.00137819,0.00137819,0.00137819
9,50.2959,2.038,1.71107,1.86119,0.17944,0.55143,0.13647,0.03679,2.26902,55.8579,2.49489,0.00133693,0.00133693,0.00133693
10,55.5052,1.99136,1.68737,1.85843,0.37497,0.50675,0.15796,0.04176,2.68993,25.7486,2.8796,0.00129568,0.00129568,0.00129568
11,59.7631,2.06628,1.77547,1.94228,0.26299,0.27714,0.12868,0.03966,2.6316,12.2731,2.87484,0.00125442,0.00125442,0.00125442
12,64.0276,2.04953,1.67437,1.93548,0.23677,0.53429,0.16313,0.04283,2.48711,11.8739,2.62287,0.00121316,0.00121316,0.00121316
13,69.0611,2.0266,1.54537,1.89185,0.42196,0.66,0.34473,0.11632,2.22079,4.52865,2.20895,0.0011719,0.0011719,0.0011719
14,73.3243,2.00432,1.43788,1.83678,0.48413,0.44571,0.37277,0.14187,2.27554,2.20374,2.24102,0.00113064,0.00113064,0.00113064
15,77.6237,1.98245,1.43926,1.79698,0.37563,0.54821,0.34199,0.12269,2.25354,2.06729,2.13979,0.00108938,0.00108938,0.00108938
16,82.729,1.99743,1.47987,1.84502,0.52769,0.50857,0.47985,0.18192,2.23225,2.26932,2.14365,0.00104813,0.00104813,0.00104813
17,87.0973,1.93972,1.41112,1.7712,0.33874,0.4684,0.33354,0.1265,2.53899,2.56338,2.30477,0.00100687,0.00100687,0.00100687
18,91.7477,2.00432,1.36966,1.79735,0.4259,0.35631,0.32184,0.11663,2.50411,2.60594,2.39733,0.00096561,0.00096561,0.00096561
19,96.431,1.98604,1.41176,1.82156,0.77834,0.53143,0.60357,0.26125,2.019,1.92819,1.98872,0.000924352,0.000924352,0.000924352
20,100.845,1.92285,1.38845,1.80154,0.64317,0.46857,0.5219,0.1967,2.18519,1.85081,2.16951,0.000883093,0.000883093,0.000883093
21,105.921,1.99098,1.37498,1.7916,0.5108,0.59143,0.53384,0.21435,2.2022,1.68555,2.11371,0.000841835,0.000841835,0.000841835
22,110.289,1.93202,1.29169,1.76917,0.45176,0.61143,0.52705,0.20798,2.13993,1.95203,2.0459,0.000800577,0.000800577,0.000800577
23,114.552,1.87278,1.20792,1.71563,0.5058,0.60045,0.53595,0.20122,2.2495,1.66364,2.19039,0.000759318,0.000759318,0.000759318
24,119.606,1.8316,1.27902,1.70831,0.5681,0.62529,0.6107,0.23918,2.22824,1.49865,2.11873,0.00071806,0.00071806,0.00071806
25,123.983,1.7723,1.14814,1.65161,0.6119,0.51143,0.54849,0.18573,2.26269,1.72882,2.14261,0.000676802,0.000676802,0.000676802
26,128.271,1.79715,1.21776,1.70705,0.58306,0.49143,0.57259,0.23019,2.19072,1.73179,2.08977,0.000635544,0.000635544,0.000635544
27,133.311,1.788,1.19069,1.71691,0.65442,0.53378,0.58005,0.2329,2.16707,1.57291,2.07922,0.000594286,0.000594286,0.000594286
28,137.587,1.74927,1.12779,1.66604,0.61435,0.62,0.58118,0.21702,2.15336,1.60346,2.0963,0.000553027,0.000553027,0.000553027
29,142.105,1.80558,1.16112,1.73223,0.66639,0.66405,0.64866,0.27002,2.05669,1.41058,1.96722,0.000511769,0.000511769,0.000511769
30,147.11,1.76457,1.07645,1.66503,0.69844,0.62571,0.67733,0.26029,2.16083,1.36952,2.05865,0.000470511,0.000470511,0.000470511
31,152.958,1.78038,1.00564,1.70106,0.72627,0.69809,0.69208,0.26691,2.2067,1.23749,2.03925,0.000429253,0.000429253,0.000429253
32,158.004,1.7172,0.9704,1.68663,0.66796,0.66,0.663,0.26439,2.19014,1.29762,2.07496,0.000387994,0.000387994,0.000387994
33,162.274,1.77509,0.98828,1.7354,0.68269,0.65527,0.68608,0.29058,2.10228,1.28118,2.02391,0.000346736,0.000346736,0.000346736
34,166.611,1.74292,0.95004,1.66782,0.64261,0.63429,0.67084,0.26801,2.1549,1.30654,2.07217,0.000305478,0.000305478,0.000305478
35,171.579,1.69074,0.90907,1.65631,0.61461,0.68857,0.64706,0.252,2.21829,1.34081,2.14939,0.00026422,0.00026422,0.00026422
36,175.97,1.67603,0.95515,1.64282,0.64774,0.71714,0.66613,0.2756,2.16067,1.22516,2.05163,0.000222961,0.000222961,0.000222961
37,180.401,1.65515,0.88504,1.62735,0.67407,0.73714,0.69133,0.28107,2.16898,1.22658,2.04082,0.000181703,0.000181703,0.000181703
38,185.256,1.59588,0.82644,1.58446,0.70684,0.6984,0.69298,0.27124,2.19529,1.25222,2.06786,0.000140445,0.000140445,0.000140445
39,189.478,1.58205,0.81599,1.56899,0.70858,0.67714,0.70019,0.26737,2.18252,1.23024,2.04964,9.91865e-05,9.91865e-05,9.91865e-05
40,194.317,1.54997,0.82112,1.55204,0.69895,0.67714,0.69364,0.2764,2.18163,1.19914,2.05406,5.79283e-05,5.79283e-05,5.79283e-05
